City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Yellowknife,CA,62.46,-114.35,15.8,85,90,10.29,light snow
1,Codrington,AU,-38.27,141.97,71.31,57,0,11.74,clear sky
2,Bucsa,HU,47.2,21.0,36.0,100,90,3.36,mist
3,Albany,US,42.6,-73.97,36.0,60,61,3.47,broken clouds
4,Melfort,CA,52.87,-104.62,21.2,85,97,8.05,overcast clouds
5,Cape Town,ZA,-33.93,18.42,59.0,58,75,5.82,broken clouds
6,Khatanga,RU,71.97,102.5,8.89,96,100,7.14,overcast clouds
7,Hamina,FI,60.57,27.2,30.2,92,90,3.36,overcast clouds
8,Rikitea,PF,-23.12,-134.97,74.82,83,98,11.99,light rain
9,Phalaborwa,ZA,-23.94,31.14,80.6,65,41,2.24,scattered clouds
10,Rocha,UY,-34.48,-54.33,78.87,68,13,13.4,few clouds
11,Puerto Ayora,EC,-0.74,-90.35,71.01,89,97,7.0,overcast clouds
12,Kodiak,US,57.79,-152.41,39.2,78,1,6.67,clear sky
13,Thompson,CA,55.74,-97.86,5.0,84,20,4.7,few clouds
14,Qaqortoq,GL,60.72,-46.03,37.4,51,100,25.28,snow
15,Bhindar,IN,24.5,74.18,56.41,46,27,6.44,scattered clouds
16,Ponta Do Sol,PT,32.67,-17.1,62.6,77,40,2.24,scattered clouds
17,Port Elizabeth,ZA,-33.92,25.57,60.8,77,20,12.75,few clouds
18,Aklavik,CA,68.22,-135.01,1.4,84,90,2.95,light snow
19,Kaitangata,NZ,-46.28,169.85,61.0,72,0,8.01,clear sky
20,Manzanillo,CU,20.34,-77.12,74.77,86,7,13.73,clear sky
21,Ushtobe,KZ,45.25,77.98,15.69,90,0,7.92,clear sky
22,Ushuaia,AR,-54.8,-68.3,44.6,70,75,6.93,light intensity drizzle
23,Tuktoyaktuk,CA,69.45,-133.04,-0.4,84,75,4.7,broken clouds
24,Beringovskiy,RU,63.05,179.32,20.55,94,100,29.44,light snow
25,Sitka,US,57.05,-135.33,44.6,70,90,6.93,overcast clouds
26,Jamestown,US,42.1,-79.24,37.99,69,90,4.7,overcast clouds
27,Kasangulu,CD,-4.59,15.17,69.48,83,100,2.1,overcast clouds
28,Lockhart,US,28.62,-81.44,71.6,60,20,6.93,few clouds
29,East London,ZA,-33.02,27.91,64.85,69,93,15.43,overcast clouds
30,Pevek,RU,69.7,170.31,20.5,96,93,10.63,overcast clouds
31,Burgeo,CA,47.62,-57.62,29.01,90,95,33.29,overcast clouds
32,Te Anau,NZ,-45.42,167.72,64.17,43,1,3.47,clear sky
33,Pangnirtung,CA,66.15,-65.71,5.0,77,90,11.41,light snow
34,Haines Junction,CA,60.75,-137.51,5.0,92,66,1.12,broken clouds
35,Ondjiva,AO,-17.07,15.73,79.52,39,68,8.28,broken clouds
36,Busselton,AU,-33.65,115.33,62.01,62,1,4.0,clear sky
37,Hasaki,JP,35.73,140.83,50.0,93,75,12.75,mist
38,Ashqelon,IL,31.67,34.57,60.8,72,0,2.24,clear sky
39,Churachandpur,IN,24.33,93.67,50.0,100,40,1.12,mist
40,Avarua,CK,-21.21,-159.78,78.8,78,98,6.93,overcast clouds
41,Dikson,RU,73.51,80.55,10.56,96,100,21.25,overcast clouds
42,Alofi,NU,-19.06,-169.92,84.2,70,68,14.99,broken clouds
43,Qitaihe,CN,45.8,130.85,22.21,97,93,2.93,light snow
44,Belleville,CA,44.18,-77.37,26.01,79,90,4.7,overcast clouds
45,Bluff,NZ,-46.6,168.33,69.01,44,0,5.99,clear sky
46,Vaini,TO,-21.2,-175.2,82.4,74,75,9.17,smoke
47,Upernavik,GL,72.79,-56.15,7.2,75,5,9.04,clear sky
48,Punta Arenas,CL,-53.15,-70.92,48.2,66,75,16.11,broken clouds
49,Kapaa,US,22.08,-159.32,78.8,83,90,18.34,moderate rain
50,Mahebourg,MU,-20.41,57.7,75.2,88,75,10.29,shower rain
51,Tieling,CN,42.29,123.84,28.42,91,100,6.22,overcast clouds
52,Hurricane,US,37.18,-113.29,55.4,24,1,3.36,clear sky
53,Ancud,CL,-41.87,-73.82,54.0,76,40,11.41,scattered clouds
54,Abu Samrah,SY,35.3,37.18,53.26,68,82,5.12,broken clouds
55,Saint Augustine,US,29.89,-81.31,69.8,83,75,11.41,broken clouds
56,Taoudenni,ML,22.68,-3.98,58.86,34,47,11.43,scattered clouds
57,Springdale,US,36.19,-94.13,55.0,100,90,6.93,light rain
58,Mount Isa,AU,-20.73,139.5,98.6,13,8,9.17,clear sky
59,Georgetown,MY,5.41,100.34,73.4,94,20,5.01,few clouds
60,Bathsheba,BB,13.22,-59.52,78.8,83,40,10.29,scattered clouds
61,Roald,NO,62.58,6.13,42.8,93,90,11.41,light rain
62,Marsh Harbour,BS,26.54,-77.06,73.27,77,5,23.11,clear sky
63,Alyangula,AU,-13.85,136.42,87.8,66,1,10.29,clear sky
64,Valle De Allende,MX,26.93,-105.4,67.32,29,61,12.64,broken clouds
65,Zhigalovo,RU,54.81,105.16,1.35,91,79,1.52,broken clouds
66,Cidreira,BR,-30.18,-50.21,71.51,79,0,23.31,clear sky
67,Arraial Do Cabo,BR,-22.97,-42.03,75.2,78,75,10.29,broken clouds
68,Pacific Grove,US,36.62,-121.92,61.0,76,1,6.6,haze
69,Clyde River,CA,70.47,-68.59,8.6,92,90,28.86,light snow
70,Sioux Lookout,CA,50.1,-91.92,28.4,92,90,5.82,overcast clouds
71,New Norfolk,AU,-42.78,147.06,79.0,50,20,4.0,few clouds
72,Gamba,GA,-2.65,10.0,78.04,90,98,3.65,overcast clouds
73,Balarampur,IN,23.12,86.22,58.15,43,100,2.95,overcast clouds
